date,S,K,r,q,T,E_IV,put_price
2019/1/2,62.02,47,0.024097,0.017097,30,0.503644,0.08053398
2019/1/2,62.02,48,0.024097,0.017097,30,0.4706445,0.080377545
2019/1/2,62.02,49,0.024097,0.017097,30,0.455775,0.100508394
2019/1/2,62.02,50,0.024097,0.017097,30,0.432289,0.113230691
2019/1/2,62.02,51,0.024097,0.017097,30,0.413777,0.135961588
2019/1/2,62.02,53,0.024097,0.017097,30,0.401257,0.256851604
2019/1/2,62.02,54,0.024097,0.017097,30,0.384186,0.313302854
2019/1/2,62.02,55,0.024097,0.017097,30,0.372078,0.400489793
2019/1/2,62.02,56,0.024097,0.017097,30,0.359386,0.507908483
2019/1/2,62.02,57,0.024097,0.017097,30,0.352129333,0.668235686
2019/1/2,62.02,58,0.024097,0.017097,30,0.336625,0.82457337
2019/1/2,62.02,59,0.024097,0.017097,30,0.324539,1.038531285
2019/1/2,62.02,60,0.024097,0.017097,30,0.312599,1.302956989
2019/1/2,62.02,61,0.024097,0.017097,30,0.300224,1.622803323
2019/1/2,62.02,62,0.024097,0.017097,30,0.287544,2.007646727
2019/1/2,62.02,63,0.024097,0.017097,30,0.263025,2.385576851
2019/1/2,62.02,64,0.024097,0.017097,30,0.250688,2.936937375
2019/1/2,62.02,65,0.024097,0.017097,30,0.239769,3.588287276
2019/1/2,62.02,66,0.024097,0.017097,30,0.228019,4.323919365
2019/1/2,62.02,67,0.024097,0.017097,30,0.22218,5.16276159
2019/1/2,62.02,68,0.024097,0.017097,30,0.221254,6.069838223
2019/1/2,62.02,69,0.024097,0.017097,30,0.215356,7.001094616
2019/1/2,62.02,72,0.024097,0.017097,30,0.230496,9.94333001
2019/1/2,62.02,73,0.024097,0.017097,30,0.248875,10.94143916
2019/1/2,62.02,74,0.024097,0.017097,30,0.266815,11.93953434
2019/1/2,62.02,75,0.024097,0.017097,30,0.2966695,12.94483715
2019/1/2,62.02,76,0.024097,0.017097,30,0.331218,13.95491807
2019/1/2,62.02,85,0.024097,0.017097,30,0.52571175,22.97188787
2019/1/2,62.02,86,0.024097,0.017097,30,0.5426355,23.97061403
2019/1/2,62.02,87,0.024097,0.017097,30,0.55929075,24.96931832
2019/1/2,62.02,95,0.024097,0.017097,30,0.68394375,32.95835684
2019/1/2,62.02,96,0.024097,0.017097,30,0.698566,33.95693012
2019/1/2,62.02,97,0.024097,0.017097,30,0.712996,34.95549321
2019/1/2,62.02,98,0.024097,0.017097,30,0.7272495,35.95405493
2019/1/2,62.02,99,0.024097,0.017097,30,0.7413245,36.95260987
2019/1/2,62.02,100,0.024097,0.017097,30,0.75522475,37.95115749
2019/1/2,62.02,101,0.024097,0.017097,30,0.7689295,38.94967829
2019/1/2,62.02,102,0.024097,0.017097,30,0.782437,39.94816826
2019/1/2,62.02,103,0.024097,0.017097,30,0.795779,40.94664939
2019/1/2,62.02,104,0.024097,0.017097,30,0.80895975,41.94512214
2019/1/2,62.02,105,0.024097,0.017097,30,0.82198375,42.94358724
2019/1/3,58.89,45,0.023993,0.018006,30,0.523016929,0.110503519
2019/1/3,58.89,46,0.023993,0.018006,30,0.496516893,0.122725859
2019/1/3,58.89,47,0.023993,0.018006,30,0.472058,0.139537691
2019/1/3,58.89,48,0.023993,0.018006,30,0.464964179,0.18990574
2019/1/3,58.89,49,0.023993,0.018006,30,0.448575,0.234478152
2019/1/3,58.89,50,0.023993,0.018006,30,0.428039571,0.278891973
2019/1/3,58.89,51,0.023993,0.018006,30,0.415542857,0.356628558
2019/1/3,58.89,52,0.023993,0.018006,30,0.404659964,0.459835716
2019/1/3,58.89,53,0.023993,0.018006,30,0.381783429,0.54057805
2019/1/3,58.89,54,0.023993,0.018006,30,0.372182429,0.700027126
2019/1/3,58.89,55,0.023993,0.018006,30,0.360337857,0.886865736
2019/1/3,58.89,56,0.023993,0.018006,30,0.346951571,1.108242156
2019/1/3,58.89,57,0.023993,0.018006,30,0.334382857,1.38431681
2019/1/3,58.89,58,0.023993,0.018006,30,0.320423714,1.710055544
2019/1/3,58.89,59,0.023993,0.018006,30,0.306807,2.104855527
2019/1/3,58.89,60,0.023993,0.018006,30,0.302272714,2.635321389
2019/1/3,58.89,61,0.023993,0.018006,30,0.289054714,3.187135603
2019/1/3,58.89,62,0.023993,0.018006,30,0.274648,3.815848245
2019/1/3,58.89,63,0.023993,0.018006,30,0.264646286,4.55097607
2019/1/3,58.89,64,0.023993,0.018006,30,0.256156857,5.363935044
2019/1/3,58.89,65,0.023993,0.018006,30,0.249529857,6.240837538
2019/1/3,58.89,66,0.023993,0.018006,30,0.246519857,7.167853914
2019/1/3,58.89,67,0.023993,0.018006,30,0.310093714,8.249631406
2019/1/3,58.89,68,0.023993,0.018006,30,0.343848143,9.265409931
2019/1/3,58.89,69,0.023993,0.018006,30,0.373861714,10.27317186
2019/1/3,58.89,70,0.023993,0.018006,30,0.434549571,11.36250873
2019/1/3,58.89,83,0.023993,0.018006,30,0.579681196,24.11662915
2019/1/3,58.89,84,0.023993,0.018006,30,0.597214661,25.11548393
2019/1/3,58.89,85,0.023993,0.018006,30,0.614468946,26.11431514
2019/1/3,58.89,86,0.023993,0.018006,30,0.63145525,27.11312565
2019/1/3,58.89,87,0.023993,0.018006,30,0.648180964,28.11191521
2019/1/3,58.89,95,0.023993,0.018006,30,0.773644839,36.1016905
2019/1/3,58.89,96,0.023993,0.018006,30,0.78840175,37.10036923
2019/1/3,58.89,97,0.023993,0.018006,30,0.802970625,38.09903872
2019/1/3,58.89,98,0.023993,0.018006,30,0.817340054,39.09768597
2019/1/3,58.89,99,0.023993,0.018006,30,0.831484964,40.09628743
2019/1/3,58.89,100,0.023993,0.018006,30,0.845452875,41.09487873
2019/1/3,58.89,101,0.023993,0.018006,30,0.859248518,42.09346044
2019/1/3,58.89,102,0.023993,0.018006,30,0.872875089,43.09203204
2019/1/3,58.89,103,0.023993,0.018006,30,0.88633825,44.09059511
2019/1/3,58.89,104,0.023993,0.018006,30,0.899640268,45.08914862
2019/1/3,58.89,105,0.023993,0.018006,30,0.912786339,46.08769396
2019/1/4,61.5,47,0.024065,0.017242,30,0.519575143,0.111361476
2019/1/4,61.5,48,0.024065,0.017242,30,0.500836286,0.13209416
2019/1/4,61.5,49,0.024065,0.017242,30,0.477765571,0.149896504
2019/1/4,61.5,51,0.024065,0.017242,30,0.407301143,0.148689025
2019/1/4,61.5,52,0.024065,0.017242,30,0.400719143,0.205313675
2019/1/4,61.5,53,0.024065,0.017242,30,0.384699714,0.254726261
2019/1/4,61.5,54,0.024065,0.017242,30,0.366641143,0.310368495
2019/1/4,61.5,55,0.024065,0.017242,30,0.355630429,0.404967346
2019/1/4,61.5,56,0.024065,0.017242,30,0.343594714,0.52133621
2019/1/4,61.5,57,0.024065,0.017242,30,0.332760571,0.674527501
2019/1/4,61.5,58,0.024065,0.017242,30,0.319155429,0.852056177
2019/1/4,61.5,59,0.024065,0.017242,30,0.306893286,1.082273226
2019/1/4,61.5,60,0.024065,0.017242,30,0.293896857,1.363050724
2019/1/4,61.5,61,0.024065,0.017242,30,0.281760429,1.714701899
2019/1/4,61.5,62,0.024065,0.017242,30,0.258339571,2.062728009
2019/1/4,61.5,63,0.024065,0.017242,30,0.246014143,2.575923605
2019/1/4,61.5,64,0.024065,0.017242,30,0.233608857,3.183501585
2019/1/4,61.5,65,0.024065,0.017242,30,0.223645143,3.899965902
2019/1/4,61.5,66,0.024065,0.017242,30,0.212624286,4.697733604
2019/1/4,61.5,67,0.024065,0.017242,30,0.207715429,5.585902186
2019/1/4,61.5,68,0.024065,0.017242,30,0.256850571,6.644217288
2019/1/4,61.5,69,0.024065,0.017242,30,0.287628571,7.652232277
2019/1/4,61.5,70,0.024065,0.017242,30,0.364820571,8.807938601
2019/1/4,61.5,71,0.024065,0.017242,30,0.395646143,9.815962746
2019/1/4,61.5,83,0.024065,0.017242,30,0.522736857,21.51443172
2019/1/4,61.5,84,0.024065,0.017242,30,0.543001429,22.51593532
2019/1/4,61.5,85,0.024065,0.017242,30,0.558622714,23.51262328
2019/1/4,61.5,86,0.024065,0.017242,30,0.576131714,24.51167166
2019/1/4,61.5,87,0.024065,0.017242,30,0.593365714,25.51069163
2019/1/4,61.5,95,0.024065,0.017242,30,0.722405857,33.50204232
2019/1/4,61.5,96,0.024065,0.017242,30,0.737549143,34.50088378
2019/1/4,61.5,97,0.024065,0.017242,30,0.752497429,35.49971389
2019/1/4,61.5,98,0.024065,0.017242,30,0.767265857,36.49854233
2019/1/4,61.5,99,0.024065,0.017242,30,0.781848143,37.4973587
2019/1/4,61.5,100,0.024065,0.017242,30,0.796251,38.49616517
2019/1/4,61.5,101,0.024065,0.017242,30,0.810422,39.49490959
2019/1/4,61.5,102,0.024065,0.017242,30,0.824410571,40.49363449
2019/1/4,61.5,103,0.024065,0.017242,30,0.838228,41.49234673
2019/1/4,61.5,104,0.024065,0.017242,30,0.851879571,42.49104773
2019/1/4,61.5,105,0.024065,0.017242,30,0.865368714,43.48973734
2019/1/7,62.05,47,0.024038,0.017089,30,0.505895429,0.082033207
2019/1/7,62.05,48,0.024038,0.017089,30,0.503695179,0.117309409
2019/1/7,62.05,49,0.024038,0.017089,30,0.478193857,0.129118215
2019/1/7,62.05,50,0.024038,0.017089,30,0.450308,0.138633735
2019/1/7,62.05,51,0.024038,0.017089,30,0.442762679,0.186178104
2019/1/7,62.05,52,0.024038,0.017089,30,0.387515,0.147777927
2019/1/7,62.05,53,0.024038,0.017089,30,0.385814,0.216828619
2019/1/7,62.05,54,0.024038,0.017089,30,0.371054714,0.272763514
2019/1/7,62.05,55,0.024038,0.017089,30,0.359065714,0.352581304
2019/1/7,62.05,56,0.024038,0.017089,30,0.346768714,0.453099568
2019/1/7,62.05,57,0.024038,0.017089,30,0.33608,0.587947215
2019/1/7,62.05,58,0.024038,0.017089,30,0.323021571,0.746032409
2019/1/7,62.05,59,0.024038,0.017089,30,0.310329286,0.946486804
2019/1/7,62.05,60,0.024038,0.017089,30,0.297503857,1.195643374
2019/1/7,62.05,61,0.024038,0.017089,30,0.284271143,1.501328115
2019/1/7,62.05,62,0.024038,0.017089,30,0.271282857,1.878406527
2019/1/7,62.05,63,0.024038,0.017089,30,0.258683,2.338469856
2019/1/7,62.05,64,0.024038,0.017089,30,0.245966,2.88659518
2019/1/7,62.05,65,0.024038,0.017089,30,0.233577857,3.530694685
2019/1/7,62.05,66,0.024038,0.017089,30,0.224213857,4.281847629
2019/1/7,62.05,67,0.024038,0.017089,30,0.215673,5.113773931
2019/1/7,62.05,68,0.024038,0.017089,30,0.212703714,6.020797737
2019/1/7,62.05,69,0.024038,0.017089,30,0.212494,6.967946609
2019/1/7,62.05,70,0.024038,0.017089,30,0.276864929,8.047889216
2019/1/7,62.05,71,0.024038,0.017089,30,0.310887643,9.067821327
2019/1/7,62.05,72,0.024038,0.017089,30,0.335448429,10.06618973
2019/1/7,62.05,73,0.024038,0.017089,30,0.3557165,11.05665618
2019/1/7,62.05,80,0.024038,0.017089,30,0.464041357,17.98095891
2019/1/7,62.05,83,0.024038,0.017089,30,0.544215464,21.00966596
2019/1/7,62.05,84,0.024038,0.017089,30,0.566132804,22.0133711
2019/1/7,62.05,85,0.024038,0.017089,30,0.582686411,23.00976126
2019/1/7,62.05,86,0.024038,0.017089,30,0.601453679,24.00972516
2019/1/7,62.05,87,0.024038,0.017089,30,0.619924321,25.00963849
2019/1/7,62.05,95,0.024038,0.017089,30,0.758185,33.00750132
2019/1/7,62.05,96,0.024038,0.017089,30,0.774407143,34.00709362
2019/1/7,62.05,97,0.024038,0.017089,30,0.790417661,35.00666123
2019/1/7,62.05,101,0.024038,0.017089,30,0.804884089,38.95226079
2019/1/7,62.05,102,0.024038,0.017089,30,0.819204,39.95123774
2019/1/7,62.05,103,0.024038,0.017089,30,0.833351304,40.9501994
2019/1/7,62.05,104,0.024038,0.017089,30,0.847329643,41.94914574
2019/1/7,62.05,105,0.024038,0.017089,30,0.861143339,42.94807756
